scenario_b,ts,region,DEV_dis_fa_kW
1,1,1,430.727163
1,1,2,306.253056
1,1,3,121.972794
1,2,1,222.310446
1,2,2,145.080000
1,2,3,743.428611
1,3,1,104.450505
1,3,2,566.560743
1,3,3,346.593873
1,4,1,551.601978
1,4,2,339.317142
1,4,3,826.669605
2,1,1,350.775051
2,1,2,499.096194
2,1,3,411.066750
2,2,1,115.476738
2,2,2,120.935631
2,2,3,459.644727
2,3,1,0.000000
2,3,2,50.196021
2,3,3,277.984638
2,4,1,383.947005
2,4,2,187.446789
2,4,3,344.914344
3,1,1,453.015183
3,1,2,301.775013
3,1,3,102.724860
3,2,1,126.009876
3,2,2,136.759761
3,2,3,660.962142
3,3,1,115.491762
3,3,2,472.524807
3,3,3,439.450524
3,4,1,416.605749
3,4,2,445.212147
3,4,3,792.449607
4,1,1,492.950610
4,1,2,310.882866
4,1,3,338.435778
4,2,1,62.348982
4,2,2,115.433196
4,2,3,484.539405
4,3,1,0.000000
4,3,2,31.245843
4,3,3,236.560704
4,4,1,478.712628
4,4,2,322.149672
4,4,3,924.699000
5,1,1,693.780000
5,1,2,253.036116
5,1,3,87.695385
5,2,1,166.063626
5,2,2,81.953817
5,2,3,665.378328
5,3,1,101.865999
5,3,2,826.183722
5,3,3,355.489698
5,4,1,544.079745
5,4,2,489.286260
5,4,3,598.101690
6,1,1,547.712520
6,1,2,448.386900
6,1,3,389.580009
6,2,1,76.235127
6,2,2,99.043290
6,2,3,562.499757
6,3,1,0.000000
6,3,2,57.753630
6,3,3,250.811886
6,4,1,730.052973
6,4,2,222.319455
6,4,3,517.893333
7,1,1,614.664906
7,1,2,267.125835
7,1,3,106.348404
7,2,1,204.374325
7,2,2,100.747218
7,2,3,902.678103
7,3,1,86.511915
7,3,2,741.228573
7,3,3,428.279706
7,4,1,488.689137
7,4,2,678.303861
7,4,3,643.623213
8,1,1,650.611017
8,1,2,479.035659
8,1,3,233.108103
8,2,1,83.106309
8,2,2,95.117847
8,2,3,611.044605
8,3,1,0.000000
8,3,2,40.006137
8,3,3,203.332998
8,4,1,724.667172
8,4,2,228.044826
8,4,3,772.363725
9,1,1,448.856274
9,1,2,284.437965
9,1,3,129.377427
9,2,1,127.363470
9,2,2,113.432364
9,2,3,574.955148
9,3,1,108.366435
9,3,2,814.189185
9,3,3,464.841213
9,4,1,500.746767
9,4,2,518.193444
9,4,3,359.138697
10,1,1,476.630958
10,1,2,544.218789
10,1,3,352.685445
10,2,1,90.447777
10,2,2,100.413330
10,2,3,726.923904
10,3,1,0.000000
10,3,2,42.741735
10,3,3,198.317388
10,4,1,476.813580
10,4,2,221.041647
10,4,3,720.597528
