metric,proposed,deterministic_k2
F_cons,128069.89313764666,119528.17262134505
Psi_nor,62324.27718180287,62246.370726740795
Phi_dis,5223.699133452031,7032.119978315756
F_unmet,0.0,0.0
J_common,173263.99690494427,165210.26812355834
sites,12,11
slow_chargers,172,171
fast_chargers,15,15
critical_bus_coverage,7/11,2/11
