scenario_b,ts,region,DEV_dis_fa_kW
1,1,1,287.151442
1,1,2,204.168704
1,1,3,81.315196
1,2,1,148.206964
1,2,2,96.720000
1,2,3,495.619074
1,3,1,69.633670
1,3,2,377.707162
1,3,3,231.062582
1,4,1,367.734652
1,4,2,226.211428
1,4,3,551.113070
2,1,1,233.850034
2,1,2,332.730796
2,1,3,274.044500
2,2,1,76.984492
2,2,2,80.623754
2,2,3,306.429818
2,3,1,0.000000
2,3,2,33.464014
2,3,3,185.323092
2,4,1,255.964670
2,4,2,124.964526
2,4,3,229.942896
3,1,1,302.010122
3,1,2,201.183342
3,1,3,68.483240
3,2,1,84.006584
3,2,2,91.173174
3,2,3,440.641428
3,3,1,76.994508
3,3,2,315.016538
3,3,3,292.967016
3,4,1,277.737166
3,4,2,296.808098
3,4,3,528.299738
4,1,1,328.633740
4,1,2,207.255244
4,1,3,225.623852
4,2,1,41.565988
4,2,2,76.955464
4,2,3,323.026270
4,3,1,0.000000
4,3,2,20.830562
4,3,3,157.707136
4,4,1,319.141752
4,4,2,214.766448
4,4,3,616.466000
5,1,1,462.520000
5,1,2,168.690744
5,1,3,58.463590
5,2,1,110.709084
5,2,2,54.635878
5,2,3,443.585552
5,3,1,67.910666
5,3,2,550.789148
5,3,3,236.993132
5,4,1,362.719830
5,4,2,326.190840
5,4,3,398.734460
6,1,1,365.141680
6,1,2,298.924600
6,1,3,259.720006
6,2,1,50.823418
6,2,2,66.028860
6,2,3,374.999838
6,3,1,0.000000
6,3,2,38.502420
6,3,3,167.207924
6,4,1,486.701982
6,4,2,148.212970
6,4,3,345.262222
7,1,1,409.776604
7,1,2,178.083890
7,1,3,70.898936
7,2,1,136.249550
7,2,2,67.164812
7,2,3,601.785402
7,3,1,57.674610
7,3,2,494.152382
7,3,3,285.519804
7,4,1,325.792758
7,4,2,452.202574
7,4,3,429.082142
8,1,1,433.740678
8,1,2,319.357106
8,1,3,155.405402
8,2,1,55.404206
8,2,2,63.411898
8,2,3,407.363070
8,3,1,0.000000
8,3,2,26.670758
8,3,3,135.555332
8,4,1,483.111448
8,4,2,152.029884
8,4,3,514.909150
9,1,1,299.237516
9,1,2,189.625310
9,1,3,86.251618
9,2,1,84.908980
9,2,2,75.621576
9,2,3,383.303432
9,3,1,72.244290
9,3,2,542.792790
9,3,3,309.894142
9,4,1,333.831178
9,4,2,345.462296
9,4,3,239.425798
10,1,1,317.753972
10,1,2,362.812526
10,1,3,235.123630
10,2,1,60.298518
10,2,2,66.942220
10,2,3,484.615936
10,3,1,0.000000
10,3,2,28.494490
10,3,3,132.211592
10,4,1,317.875720
10,4,2,147.361098
10,4,3,480.398352
