comparison_group,variant,run_id,case_name,parameter_regime,validation_level,diagnosis_label,stop_reason,solver_status,epsilon_cert,max_iterations,A_selected,B_selected,K,cut_signature_dedup_enabled,repeated_outage_guard_enabled,iteration_count,cut_count,generated_cut_count,final_violation_upper_bound,sampled_problem_gap_bound,total_objective,construction_cost,weighted_normal_term,disaster_master_term,total_runtime_sec,master_runtime_sec_total,separation_runtime_sec_total,dual_resolve_runtime_sec_total,repeated_outage_count,repeated_cut_signature_count,alpha_lambda_only_cut_count,plan_change_cut_count,lower_bound_gain,dominant_cause,notes,iteration_log_path,master_before_cut_lp_path,master_after_cut_lp_path
disaster_only_paper_like_exact_i40_k1_a1b1,baseline,disaster_only_paper_like_exact_i40_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,exact,exact_zero,certified_exact,OPTIMAL,0.0,40,[1],[1],1,False,False,25,25,24,1.280568540096283e-09,0.0,48593.66117353786,25446.906551343287,0.0,23146.754622194574,21.984747000000027,7.036783330999924,1.0494052100000886,0.4494758339998839,4,0,1,23,48593.66117353786,repeated outages,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=4; plan-changing cuts=23/24; alpha/lambda-only cuts=1/24; lower-bound gain=48593.661,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i40_k1_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i40_k1_a1b1,improved,disaster_only_paper_like_exact_i40_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,exact,exact_zero,certified_exact,OPTIMAL,0.0,40,[1],[1],1,True,True,25,25,24,1.280568540096283e-09,0.0,48593.66117353786,25446.906551343287,0.0,23146.754622194574,21.930496667,6.960069541999985,1.0554823730003022,0.4097964570000272,4,0,1,23,48593.66117353786,repeated outages,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=4; plan-changing cuts=23/24; alpha/lambda-only cuts=1/24; lower-bound gain=48593.661,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i40_k1_a1b1__improved_iteration_log.json,,
disaster_only_paper_like_exact_i5_k2_a1b1,baseline,disaster_only_paper_like_exact_i5_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],2,False,False,5,5,4,71546.45000003651,0.0,26823.693279902243,23113.82481765002,0.0,3709.868462252223,4.048373500000025,1.156781874999922,0.18517695799994272,0.06517954300005613,0,0,1,3,26823.693279902243,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i5_k2_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i5_k2_a1b1,improved,disaster_only_paper_like_exact_i5_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],2,True,True,5,5,4,71546.45000003651,0.0,26823.693279902243,23113.82481765002,0.0,3709.868462252223,4.017569667000032,1.1123614159998851,0.20445858300001873,0.06571504300006836,0,0,1,3,26823.693279902243,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i5_k2_a1b1__improved_iteration_log.json,,
disaster_only_paper_like_exact_i20_k2_a1b1,baseline,disaster_only_paper_like_exact_i20_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,False,False,20,20,19,35891.95999998739,0.0,44130.916698912304,26832.28942360707,0.0,17298.627275305236,18.283965707999982,6.306070953999949,0.9258731230001445,0.3291486680000162,1,0,1,18,44130.916698912304,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i20_k2_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i20_k2_a1b1,improved,disaster_only_paper_like_exact_i20_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,True,True,20,20,19,35891.95999998739,0.0,44130.916698912304,26832.28942360707,0.0,17298.627275305236,18.38961608300002,6.3291878780000275,0.9466734999999744,0.3155790850001381,1,0,1,18,44130.916698912304,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i20_k2_a1b1__improved_iteration_log.json,,
disaster_only_paper_like_exact_i40_k2_a1b1,baseline,disaster_only_paper_like_exact_i40_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,40,[1],[1],2,False,False,40,40,39,7636.459999999031,0.0,55144.17175855965,26832.28942360707,0.0,28311.882334952566,38.94427562499999,14.559982829000091,1.839872459999924,0.6788569170001892,2,0,1,38,55144.17175855965,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i40_k2_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i40_k2_a1b1,improved,disaster_only_paper_like_exact_i40_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,40,[1],[1],2,True,True,40,40,39,7636.459999999031,0.0,55144.17175855965,26832.28942360707,0.0,28311.882334952566,39.283394708,14.708558921000076,1.885331580999548,0.7188860019998629,2,0,1,38,55144.17175855965,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i40_k2_a1b1__improved_iteration_log.json,,
integrated_runtime12_exact_i3_k3_a1234b1234,baseline,integrated_runtime12_exact_i3_k3_a1234b1234__baseline,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,3,"[1,2,3,4]","[1,2,3,4]",3,False,False,3,3,2,12863.407500000903,0.0,25167982.452270247,4264895.208537845,20902940.654416908,146.5893154516791,17.75583750000004,10.271390749000034,0.34345791600003395,0.12820158299996365,0,0,0,2,146.58931542560458,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=2/2; alpha/lambda-only cuts=0/2; lower-bound gain=146.589,results/cut_process_diagnostics/logs/integrated_runtime12_exact_i3_k3_a1234b1234__baseline_iteration_log.json,results/cut_process_diagnostics/lp/integrated_runtime12_exact_i3_k3_a1234b1234__baseline_master_before.lp,results/cut_process_diagnostics/lp/integrated_runtime12_exact_i3_k3_a1234b1234__baseline_master_after.lp
integrated_runtime12_exact_i3_k3_a1234b1234,improved,integrated_runtime12_exact_i3_k3_a1234b1234__improved,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,3,"[1,2,3,4]","[1,2,3,4]",3,True,True,3,3,2,12863.407500000903,0.0,25167982.452270247,4264895.208537845,20902940.654416908,146.5893154516791,17.733977750000008,10.305556958000011,0.2629730410000093,0.12865675000000465,0,0,0,2,146.58931542560458,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=2/2; alpha/lambda-only cuts=0/2; lower-bound gain=146.589,results/cut_process_diagnostics/logs/integrated_runtime12_exact_i3_k3_a1234b1234__improved_iteration_log.json,results/cut_process_diagnostics/lp/integrated_runtime12_exact_i3_k3_a1234b1234__improved_master_before.lp,results/cut_process_diagnostics/lp/integrated_runtime12_exact_i3_k3_a1234b1234__improved_master_after.lp
