run_id,family_name,case_name,parameter_regime,validation_level,stop_reason,total_objective,construction_cost,weighted_normal_term,unweighted_normal_term,disaster_master_term,alpha,lambda_times_FP,iteration_count,cut_count,final_violation_upper_bound,opened_bus_count,total_slow_chargers,total_fast_chargers
integrated_mainline_certified_small,certified_small_family,integrated_mainline_certified_small,base,epsilon_certified,certified_epsilon,25009375.227441963,4421143.360491286,20588064.249518357,22875626.943909284,167.61743231180833,0.0,1676.174323118083,4,4,6167.220000000321,18,360,26
normal_only_certified_small,certified_small_family,normal_only_certified_small,normal_only,exact,direct_optimal,27296770.304400675,4421143.360491286,22875626.94390937,22875626.94390937,0.0,0.0,0.0,0,1,0.0,18,360,26
deterministic_mean_value_certified_small,certified_small_family,deterministic_mean_value_certified_small,deterministic_mean_value,epsilon_certified,certified_epsilon,25009375.227441963,4421143.360491286,20588064.249518357,22875626.943909284,167.61743231180833,0.0,1676.174323118083,4,4,6167.220000000321,18,360,26
integrated_mainline_runtime12,runtime12_smoke_family,integrated_mainline_runtime12,base,smoke_only,max_iterations,24916798.832808632,4410273.923833655,20506437.556191694,22784930.61799077,87.35278330225373,0.0,873.5278330225372,2,2,10529.50500000018,18,360,24
normal_only_runtime12,runtime12_smoke_family,normal_only_runtime12,normal_only,exact,direct_optimal,27195204.541824397,4410273.923833655,22784930.617990784,22784930.617990784,0.0,0.0,0.0,0,1,0.0,18,360,24
deterministic_mean_value_runtime12,runtime12_smoke_family,deterministic_mean_value_runtime12,deterministic_mean_value,smoke_only,max_iterations,24858124.365097396,4183374.4336056146,20674646.360838365,22971829.289820403,103.5706534132272,0.0,1035.706534132272,2,2,12987.68000000075,17,340,26
ev_penetration_1_5x_runtime12,runtime12_smoke_family,ev_penetration_1_5x_runtime12,ev_penetration_1_5x,smoke_only,max_iterations,36750553.183723375,6172481.341952035,30577949.732886072,33975499.70320675,122.10888533352457,0.0,1221.0888533352456,2,2,5985.6700000002165,25,500,42
ev_penetration_2_0x_runtime12,runtime12_smoke_family,ev_penetration_2_0x_runtime12,ev_penetration_2_0x,smoke_only,max_iterations,53401075.4307536,6470032.170454676,46930921.15141376,52145467.94601529,122.10888533352457,0.0,1221.0888533352456,2,2,5985.6700000002165,26,520,53
