run_id,family_name,case_name,parameter_regime,validation_level,stop_reason,solver_status,total_objective,construction_cost,weighted_normal_term,unweighted_normal_term,disaster_master_term,alpha,lambda_times_FP,iteration_count,cut_count,final_violation_upper_bound,opened_bus_count,total_slow_chargers,total_fast_chargers
normal_only_paper_like_refined_scale_055,paper_like_fig6_refined,normal_only_paper_like_refined_scale_055,paper_like_fig6_refined,exact,direct_optimal,OPTIMAL,13859062.351558426,310800.6532403393,13548261.698318087,13548261.698318087,0.0,0.0,0.0,0,1,0.0,8,199,13
normal_only_paper_like_refined_scale_050,paper_like_fig6_refined,normal_only_paper_like_refined_scale_050,paper_like_fig6_refined,exact,direct_optimal,OPTIMAL,13297596.769002516,307442.13604148803,12990154.632961025,12990154.632961025,0.0,0.0,0.0,0,1,0.0,8,181,12
normal_only_paper_like_refined_scale_045,paper_like_fig6_refined,normal_only_paper_like_refined_scale_045,paper_like_fig6_refined,exact,direct_optimal,OPTIMAL,12702619.996012146,270036.44937388203,12432583.546638265,12432583.546638265,0.0,0.0,0.0,0,1,0.0,7,163,11
