source,run_id,family_or_group,case_name,parameter_regime,validation_level,stop_reason,iteration_count,cut_count,final_violation_upper_bound,total_objective,construction_cost,weighted_normal_term,disaster_master_term,notes
convergence_diagnostic,disaster_only_paper_like_exact_i5_k1_a1b1,convergence_diagnostic,disaster_only,paper_like_tableII,smoke_only,max_iterations,5,5,46818.8099999954,29087.07384291861,23113.82481765002,0.0,5973.2490252685875,true non-certification under enlarged iteration budget; lower-bound gain=29087.074; violation drop=104728.770; dominant runtime component: master-side; smoke_only result should not be promoted beyond directional diagnosis
convergence_diagnostic,disaster_only_paper_like_exact_i20_k2_a1b1,convergence_diagnostic,disaster_only,paper_like_tableII,smoke_only,max_iterations,20,20,35891.95999998739,44130.916698912304,26832.28942360707,0.0,17298.627275305236,true non-certification under enlarged iteration budget; lower-bound gain=44130.917; violation drop=115655.620; dominant runtime component: master-side; repeated outage pattern observed; smoke_only result should not be promoted beyond directional diagnosis
cut_process,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact_i10_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056,13208090.806477968,172089.27406128767,13035517.893568961,483.6388477161834,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078
cut_process,integrated_paper_like_exact_i10_k2_a1b1__improved,integrated_paper_like_exact_i10_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056,13208090.806477968,172089.27406128767,13035517.893568961,483.6388477161834,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078
cut_process,integrated_paper_like_exact_i20_k2_a1b1__baseline,integrated_paper_like_exact_i20_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443,13208261.311175572,171730.13627193242,13035579.452562211,951.7223414290767,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583
cut_process,integrated_paper_like_exact_i20_k2_a1b1__improved,integrated_paper_like_exact_i20_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443,13208261.311175572,171730.13627193242,13035579.452562211,951.7223414290767,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583
cut_process,integrated_paper_like_exact_i40_k2_a1b1__baseline,integrated_paper_like_exact_i40_k2_a1b1,integrated_paper_like_exact,paper_like_exact,exact,certified_exact,23,23,4.656612873077393e-10,13208233.806745833,172119.2022104006,13035594.074407563,520.530127871867,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=3; plan-changing cuts=22/22; alpha/lambda-only cuts=0/22; lower-bound gain=1146.078
cut_process,integrated_paper_like_exact_i40_k2_a1b1__improved,integrated_paper_like_exact_i40_k2_a1b1,integrated_paper_like_exact,paper_like_exact,exact,certified_exact,23,23,4.656612873077393e-10,13208233.806745833,172119.2022104006,13035594.074407563,520.530127871867,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=3; plan-changing cuts=22/22; alpha/lambda-only cuts=0/22; lower-bound gain=1146.078
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1__baseline,disaster_only_paper_like_exact_i5_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954,29087.07384291861,23113.82481765002,0.0,5973.2490252685875,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1__improved,disaster_only_paper_like_exact_i5_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954,29087.07384291861,23113.82481765002,0.0,5973.2490252685875,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074
