run_source,family,case_name,parameter_regime,validation_level,stop_reason,iteration_count,cut_count,final_violation_upper_bound
convergence_diagnostic,convergence_diagnostic,integrated_mainline,paper_like_tableII,epsilon_certified,certified_epsilon,5,5,6363.820000000065
convergence_diagnostic,convergence_diagnostic,integrated_mainline,paper_like_tableII,smoke_only,max_iterations,10,10,2818.310000000056
convergence_diagnostic,convergence_diagnostic,integrated_mainline,paper_like_tableII,smoke_only,max_iterations,20,20,3747.1099999961443
convergence_diagnostic,convergence_diagnostic,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,10529.50500000018
convergence_diagnostic,convergence_diagnostic,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,10492.675000000047
convergence_diagnostic,convergence_diagnostic,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,15217.614999999438
convergence_diagnostic,convergence_diagnostic,deterministic_mean_value,paper_like_tableII,epsilon_certified,certified_epsilon,1,1,16575.030000000726
convergence_diagnostic,convergence_diagnostic,deterministic_mean_value,runtime12_directional,smoke_only,max_iterations,2,2,12987.68000000075
convergence_diagnostic,convergence_diagnostic,disaster_only,paper_like_tableII,smoke_only,max_iterations,5,5,46818.8099999954
convergence_diagnostic,convergence_diagnostic,disaster_only,paper_like_tableII,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,integrated_paper_like_exact_i10_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056
cut_process,integrated_paper_like_exact_i10_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056
cut_process,integrated_paper_like_exact_i20_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443
cut_process,integrated_paper_like_exact_i20_k2_a1b1,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443
cut_process,integrated_paper_like_exact_i40_k2_a1b1,integrated_paper_like_exact,paper_like_exact,exact,certified_exact,23,23,4.656612873077393e-10
cut_process,integrated_paper_like_exact_i40_k2_a1b1,integrated_paper_like_exact,paper_like_exact,exact,certified_exact,23,23,4.656612873077393e-10
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485
cut_process,disaster_only_paper_like_exact_i40_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,exact,certified_exact,25,25,1.280568540096283e-09
cut_process,disaster_only_paper_like_exact_i40_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,exact,certified_exact,25,25,1.280568540096283e-09
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903
