candidate_id,case,run_id,initial_cut_pool_path_count,initial_cut_pool_paths
mult_cons0p0152_normal1_disaster1p4,proposed,default_multiplier_mult_cons0p0152_normal1_disaster1p4_proposed,1,results/default_case_targeted_transition_v8_focus_cert/runs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_proposed/logs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_proposed_cut_pool.json
mult_cons0p0152_normal1_disaster1p4,normal,default_multiplier_mult_cons0p0152_normal1_disaster1p4_normal,0,
mult_cons0p0152_normal1_disaster1p4,disaster,default_multiplier_mult_cons0p0152_normal1_disaster1p4_disaster,1,results/default_case_targeted_transition_v8_focus_cert/runs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_disaster/logs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_disaster_cut_pool.json
mult_cons0p0152_normal1_disaster1p4,deterministic_k2,default_multiplier_mult_cons0p0152_normal1_disaster1p4_deterministic_k2,1,results/default_case_targeted_transition_v8_focus_cert/runs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_deterministic_k2/logs/default_multiplier_mult_cons0p0152_normal1_disaster1p4_deterministic_k2_cut_pool.json
