candidate_id,case,run_id,warm_start_path_count,warm_start_paths
mult_cons0p0152_normal1_disaster1p4,proposed,default_multiplier_mult_cons0p0152_normal1_disaster1p4_proposed,4,/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_proposed_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/default_case_topology_calibration/runs/default_multiplier_mult_cons0p02_normal1_disaster1p25_proposed/plans/default_multiplier_mult_cons0p02_normal1_disaster1p25_proposed_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_normal_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_deterministic_k2_plan.csv
mult_cons0p0152_normal1_disaster1p4,normal,default_multiplier_mult_cons0p0152_normal1_disaster1p4_normal,0,
mult_cons0p0152_normal1_disaster1p4,disaster,default_multiplier_mult_cons0p0152_normal1_disaster1p4_disaster,3,/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_disaster_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_proposed_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_normal_plan.csv
mult_cons0p0152_normal1_disaster1p4,deterministic_k2,default_multiplier_mult_cons0p0152_normal1_disaster1p4_deterministic_k2,4,/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_deterministic_k2_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/default_case_topology_calibration/runs/default_multiplier_mult_cons0p02_normal1_disaster1p25_deterministic_k2/plans/default_multiplier_mult_cons0p02_normal1_disaster1p25_deterministic_k2_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_proposed_plan.csv|/Users/shixinliu/.codex/worktrees/e63b/two-regime-dro/results/paper_final/plans/default_scale_v2_normal_plan.csv
